Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,2015,FH.sole,449325.8091,51257.99833,2.14E-06
bts_bootstrap,absolute,2016,FH.sole,508539.0861,36304.86708,2.14E-06
bts_bootstrap,absolute,2017,FH.sole,623949.1142,49020.9889,2.14E-06
bts_bootstrap,absolute,2018,FH.sole,569152.2134,43236.85906,2.14E-06
bts_bootstrap,absolute,2019,FH.sole,694062.8797,92607.95314,2.14E-06
bts_bootstrap,absolute,1982,Gr.Turbot_Adu,454807.4883,56715.36134,2.14E-06
bts_bootstrap,absolute,1983,Gr.Turbot_Adu,346341.2133,43531.49588,2.14E-06
bts_bootstrap,absolute,1984,Gr.Turbot_Adu,250838.9578,38423.96803,2.14E-06
bts_bootstrap,absolute,1985,Gr.Turbot_Adu,115902.8206,23344.63553,2.14E-06
bts_bootstrap,absolute,1986,Gr.Turbot_Adu,79782.48064,18254.87986,2.14E-06
bts_bootstrap,absolute,1987,Gr.Turbot_Adu,153761.1785,37905.37054,2.14E-06
bts_bootstrap,absolute,1988,Gr.Turbot_Adu,173805.2287,45686.39676,2.14E-06
bts_bootstrap,absolute,1989,Gr.Turbot_Adu,132176.6256,35142.26481,2.14E-06
bts_bootstrap,absolute,1990,Gr.Turbot_Adu,212279.6085,64459.06834,2.14E-06
bts_bootstrap,absolute,1991,Gr.Turbot_Adu,159696.528,38489.59808,2.14E-06
bts_bootstrap,absolute,1992,Gr.Turbot_Adu,360350.1369,86370.05803,2.14E-06
bts_bootstrap,absolute,1993,Gr.Turbot_Adu,456643.3612,71649.18511,2.14E-06
bts_bootstrap,absolute,1994,Gr.Turbot_Adu,732095.0164,167352.4501,2.14E-06
bts_bootstrap,absolute,1995,Gr.Turbot_Adu,522059.2922,111868.5304,2.14E-06
bts_bootstrap,absolute,1996,Gr.Turbot_Adu,454669.3439,69420.25439,2.14E-06
bts_bootstrap,absolute,1997,Gr.Turbot_Adu,437933.3001,90071.47642,2.14E-06
bts_bootstrap,absolute,1998,Gr.Turbot_Adu,421570.7728,59719.38977,2.14E-06
